n,bubble,selection,Array.Sort
100,0,0,0,
200,0,0,0,
400,0,1,0,
800,2,2,0,
1600,9,15,0,
3200,34,46,0,
6400,144,151,0,
12800,649,599,0,
25600,2393,2348,0,
51200,9834,9401,0,
102400,40987,38906,1,
204800,162333,164825,2,
400000,0,0,15,
800000,0,0,32,
1500000,0,0,66,
3000000,0,0,125,
6000000,0,0,267,
12000000,0,0,591,
24000000,0,0,1120,
48000000,0,0,2318,
96000000,0,0,4754,
50,0,0,0,
100,0,0,0,
200,0,0,0,
10000000,0,0,533,
20000000,0,0,1097,
40000000,0,0,2136,
0,0,0,0,
123,0,0,0,
1234,0,0,0,
12345,0,0,0,
123456,0,0,1,
